RowType,SystemID,SystemType,ParameterNumber,LogTime,Value,AlertCode,Message,Priority,ParameterStatus,Commissioned,Quarantined,Available,Communicating,Running,StandBy,Maintenance
STATUS,FvxN2updateVG1,16403,0,2019-12-12 05:15:12.782,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,False,True,False
STATUS,FvxN2updateVG2,16403,0,2019-12-12 05:15:12.784,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,False,True,False
STATUS,FvxN2updateVG1,16403,0,2019-12-12 05:15:16.784,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,False,False,False
STATUS,FvxN2updateVG2,16403,0,2019-12-12 05:15:16.786,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,False,False,False
LOGGING,FvxN2updateVG1,16403,51,2019-12-12 05:15:20.785,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG2,16403,51,2019-12-12 05:15:20.787,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG1,16403,51,2019-12-12 05:15:24.785,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG2,16403,51,2019-12-12 05:15:24.787,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG1,16403,51,2019-12-12 05:15:28.785,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG2,16403,51,2019-12-12 05:15:28.787,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG1,16403,51,2019-12-12 05:15:32.785,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG2,16403,51,2019-12-12 05:15:32.787,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG1,16403,51,2019-12-12 05:15:36.786,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG2,16403,51,2019-12-12 05:15:36.788,-206.84270000000,,,0,0,False,False,False,False,False,False,False
LOGGING,FvxN2updateVG1,16403,51,2019-12-12 05:15:40.786,-206.84270000000,,,0,0,False,False,False,False,False,False,False
