RowType,SystemID,SystemType,ParameterNumber,LogTime,Value,AlertCode,Message,Priority,ParameterStatus,Commissioned,Quarantined,Available,Communicating,Running,StandBy,Maintenance
STATUS,,16403,52,09/03/2017 00:00:04.0,0,,IDS_4_STATUS_0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
STATUS,,16403,52,09/03/2017 00:00:07.0,0,,IDS_4_STATUS_1,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,52,09/03/2017 00:00:10.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,53,09/03/2017 00:00:10.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,54,09/03/2017 00:00:10.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,52,09/03/2017 00:00:15.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,53,09/03/2017 00:00:15.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,54,09/03/2017 00:00:15.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,52,09/03/2017 00:00:20.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,53,09/03/2017 00:00:20.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,54,09/03/2017 00:00:20.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,52,09/03/2017 00:00:40.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,53,09/03/2017 00:00:40.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,54,09/03/2017 00:00:40.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LOGGING,,16403,52,09/03/2017 00:01:00.0,-750,,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
