RowType,SystemID,SystemType,ParameterNumber,LogTime,Value,AlertCode,Message,Priority,ParameterStatus,Commissioned,Quarantined,Available,Communicating,Running,StandBy,Maintenance
STATUS,MdxN3N4N5VG2000,16403,52,2019-12-05 12:30:33.610,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2001,16403,52,2019-12-05 12:30:34.011,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2002,16403,52,2019-12-05 12:30:34.412,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2003,16403,52,2019-12-05 12:30:34.813,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2004,16403,52,2019-12-05 12:30:35.217,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2005,16403,52,2019-12-05 12:30:35.618,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2006,16403,52,2019-12-05 12:30:36.020,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2007,16403,52,2019-12-05 12:30:36.421,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2008,16403,52,2019-12-05 12:30:36.822,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2009,16403,52,2019-12-05 12:30:37.223,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2010,16403,52,2019-12-05 12:30:37.624,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2011,16403,52,2019-12-05 12:30:38.026,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2012,16403,52,2019-12-05 12:30:38.427,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2013,16403,52,2019-12-05 12:30:38.828,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2014,16403,52,2019-12-05 12:30:39.229,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2015,16403,52,2019-12-05 12:30:39.630,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2016,16403,52,2019-12-05 12:30:40.031,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2017,16403,52,2019-12-05 12:30:40.432,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2018,16403,52,2019-12-05 12:30:40.833,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2019,16403,52,2019-12-05 12:30:41.234,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2020,16403,52,2019-12-05 12:30:41.635,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2021,16403,52,2019-12-05 12:30:42.036,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2022,16403,52,2019-12-05 12:30:42.437,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2023,16403,52,2019-12-05 12:30:42.838,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
